,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
0,79.0,0.32899999999999996,0.897,0.14300000000000002,7.0,44.0,86.0,0.35200000000000004,0.647,0.222,15.0,55.0,1
1,86.0,0.38,0.852,0.188,19.0,37.0,93.5,0.454,0.7635000000000001,0.175,16.0,35.5,0
2,89.0,0.462,0.5379999999999999,0.214,21.0,36.0,80.0,0.38,0.7355,0.23600000000000002,15.5,49.5,1
3,58.0,0.457,0.7,0.667,10.0,31.0,87.5,0.43200000000000005,0.672,0.42,20.5,43.0,0
4,100.0,0.442,0.6499999999999999,0.365,20.5,38.5,62.0,0.385,0.5760000000000001,0.3,11.0,30.0,0
5,76.0,0.38299999999999995,0.75,0.2,17.0,39.0,101.0,0.46399999999999997,0.679,0.25,22.0,47.0,1
6,105.0,0.527,0.7140000000000001,0.7,27.0,39.0,80.0,0.35,0.75,0.429,18.0,45.0,1
7,90.0,0.457,0.735,0.14300000000000002,23.0,41.0,104.0,0.527,0.657,0.429,22.0,33.0,1
8,101.0,0.467,0.871,0.444,19.0,39.0,91.5,0.466,0.6305000000000001,0.4585,23.0,48.5,1
9,80.5,0.34700000000000003,0.7955,0.3165,15.5,43.0,91.66666666666669,0.4656666666666667,0.6426666666666667,0.4873333333333334,23.33333333333333,45.33333333333334,1
10,90.66666666666669,0.4253333333333333,0.6930000000000001,0.2,16.333333333333332,38.333333333333336,96.5,0.4255,0.7070000000000001,0.43,25.5,47.0,0
11,79.0,0.3995,0.7020000000000001,0.272,9.0,37.5,80.0,0.292,0.69,0.4,17.0,66.0,1
12,98.0,0.413,0.703,0.37,22.0,42.0,82.0,0.368,0.609,0.364,13.0,50.0,1
13,66.0,0.387,0.6565,0.449,13.0,39.0,81.5,0.374,0.7435,0.3215,18.0,51.5,1
14,75.5,0.4205,0.6215,0.4,14.5,34.5,91.5,0.4245,0.8220000000000001,0.188,22.5,42.5,0
15,105.0,0.494,0.618,0.267,25.0,48.0,93.5,0.4845,0.6345,0.2635,24.5,38.0,0
16,91.0,0.39299999999999996,0.7165,0.382,17.0,51.5,103.5,0.4105,0.6739999999999999,0.34,22.0,44.5,0
17,94.0,0.4355,0.7090000000000001,0.307,24.0,43.5,95.0,0.447,0.643,0.16699999999999998,26.0,47.0,1
18,83.0,0.40399999999999997,0.775,0.1835,17.0,42.0,91.33333333333331,0.4503333333333333,0.6703333333333333,0.419,22.0,44.66666666666666,1
19,103.5,0.4865,0.8355,0.33299999999999996,23.0,40.0,84.0,0.3845,0.715,0.2465,16.0,41.5,1
20,78.33333333333333,0.3753333333333333,0.7403333333333334,0.2963333333333333,15.0,46.0,95.66666666666669,0.4253333333333333,0.6806666666666666,0.3543333333333333,18.666666666666668,39.0,0
21,88.25,0.4485,0.69325,0.35000000000000003,20.75,42.75,90.66666666666669,0.4423333333333333,0.6809999999999999,0.249,25.66666666666667,43.33333333333334,0
